word,count
"gusty",1
"ha",1
"habit",1
"habited",2
"had",421
"hadijeh",1
"hair",7
"hairy",1
"halberdiers",3
"halberds",1
"half",9
"half-an-hour",1
"halflight",1
"hall",46
"halls",1
"hallway",1
"halted",1
"hams",1
"hand",101
"handfast",1
"handiwork",1
"handled",3
"hands",27
"hanging",2
"hap",2
"haphazard",1
"happed",1
"happen",2
"happened",3
"happens",2
"hard",35
"hardened",1
"hardihood",1
"hardly",3
"harmony",1
"harper",1
"harpers",1
"harsh",1
"has",16
"haste",6
"hastened",5
"hastily",6
"hat",9
"hate",1
"hated",8
"hateful",1
"haters",1
"hath",20
"hatred",3
"haunt",1
"haunteth",1
"have",175
"having",3
"hawk",1
"hay",1
"hazard",2
"hazardous",1
"haze",1
"he",1939
"head",30
"headlong",1
"heads",9
"healed",1
"heap",1
"hear",29
"heard",110
"hearing",7
"hearken",1
"hears",1
"heart",87
"heart's",1
"hearth",3
"hearthstone",2
"heartily",2
"heartiness",1
"hearts",4
"heartstrings",1
"hearty",1
"heat",2
"heath",2
"heather",3
"heaven",7
"heavier",4
"heavily",4
"heaviness",1
"heavy",8
"hedge",1
"heed",2
"height",5
"heir",1
"heirs",1
"held",29
"helen",1
"helm",1
"helmet",1
"help",6
"hence",2
"henceforth",2
"her",389
"herald",2
"herd",1
"herd-girl",3
"herdholt",3
"herdsman",1
"here",24
"herein",2
"hereunder",1
"heritage",5
"hermit",69
"hermit's",6
"hermitage",1
"hermits",2
"hers",1
"herself",9
"hew",2
"hewed",2
"heyday",1
"hid",6
"hidden",2
"hiding",2
"high",50
"high-road",4
"higher",1
"hill",13
"hills",13
"hillside",5
"hillward",1
"hilt",1
"him",884
"himself",55
"hindered",1
"hindrance",1
"hinges",2
"his",936
"hither",16
"hitherward",1
"hoar",4
"hog",1
"hogshead",1
"hoised",2
"hold",16
"holding",2
"hollow",6
"hollows",1
"holpen",3
"home",10
"homeless",2
"homestead",1
"homeward",3
"homing",1
"honey",3
"honey-bee",1
"honour",8
"honouring",1
"hood",2
"hoods",2
"hoof",2
"hope",21
"hoped",2
"hopes",1
"hoping",1
"hopped",1
"horn",30
"horns",1
"horse",12
"horses",4
"host",1
"hot",3
"hotly",4
"hotter",1
"hound",2
"hounds",3
"hour",24
"hour's",1
"hours",5
"hours'",1
"house",61
"household",3
"houses",1
"hovered",1
"how",168
"howbeit",10
"howl",1
"howled",1
"howling",7
"html",15
"hubert",48
"hue",1
"human",1
"humbly",2
"humming",2
"hundred",11
"hundredfold",1
"hundreds",1
"hundredth",1
"hung",4
"hunger",1
"hungered",1
"hungry",1
"hunted",1
"hunter",1
"hunter's",1
"hunting",5
"hunting-knife",1
"huntsman",1
"hurrying",1
"hurt",3
"hurtle",1
"hurtled",1
"hurtling",1
"husband",3
"hushed",2
"hut",6
"hymn",1
"hyperenor",17
"i",238
"icelander",1
"id",15
